feature_set,model,fold,accuracy,balanced_accuracy,f1,roc_auc
geneformer_patient,logistic,1,0.625,0.6349206349206349,0.625,0.6666666666666666
geneformer_patient,logistic,2,0.9375,0.95,0.9473684210526315,0.95
geneformer_patient,logistic,3,0.7333333333333333,0.7222222222222222,0.7777777777777778,0.925925925925926
geneformer_patient,logistic,4,0.7333333333333333,0.7222222222222222,0.7777777777777778,0.8703703703703703
geneformer_patient,logistic,5,0.8,0.7777777777777777,0.8421052631578947,0.7777777777777779
geneformer_patient,svm,1,0.75,0.7619047619047619,0.75,0.7142857142857143
geneformer_patient,svm,2,0.9375,0.95,0.9473684210526315,0.9333333333333333
geneformer_patient,svm,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,0.9814814814814815
geneformer_patient,svm,4,0.8666666666666667,0.8888888888888888,0.875,0.8148148148148149
geneformer_patient,svm,5,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.8333333333333334
geneformer_patient,rf,1,0.6875,0.6746031746031746,0.7368421052631579,0.6984126984126985
geneformer_patient,rf,2,0.6875,0.5833333333333334,0.8,0.95
geneformer_patient,rf,3,0.9333333333333333,0.9166666666666667,0.9473684210526315,0.9814814814814815
geneformer_patient,rf,4,0.8,0.8055555555555556,0.8235294117647058,0.8333333333333333
geneformer_patient,rf,5,0.8,0.7777777777777777,0.8421052631578947,0.8333333333333334
geneformer_patient,hgb,1,0.8125,0.8174603174603174,0.8235294117647058,0.8095238095238095
geneformer_patient,hgb,2,0.75,0.7,0.8181818181818182,0.7666666666666667
geneformer_patient,hgb,3,0.9333333333333333,0.9444444444444444,0.9411764705882353,1.0
geneformer_patient,hgb,4,0.8,0.8055555555555556,0.8235294117647058,0.9259259259259259
geneformer_patient,hgb,5,0.8,0.8055555555555556,0.8235294117647058,0.9444444444444444
